Protein ID	Amount
P02768ups	50000
P41159ups	50000
P69905ups	50000
P00915ups	50000
P68871ups	50000
P00918ups	50000
P62988ups	50000
P01031ups	50000
P00167ups	5000
P15559ups	5000
P04040ups	5000
P63165ups	5000
P62937ups	5000
Q06830ups	5000
P02144ups	5000
P01133ups	5000
P61626ups	500
P16083ups	500
P12081ups	500
Q15843ups	500
P63279ups	500
P06732ups	500
P02753ups	500
P00709ups	500
P07339ups	50
P01008ups	50
P08263ups	50
P01344ups	50
P55957ups	50
P10599ups	50
P01127ups	50
P61769ups	50
P99999ups	5
P06396ups	5
P01112ups	5
P08311ups	5
P02787ups	5
O00762ups	5
P51965ups	5
P09211ups	5
P08758ups	0.5
P02741ups	0.5
P05413ups	0.5
P02788ups	0.5
P10636-8ups	0.5
P00441ups	0.5
P01375ups	0.5
P10145ups	0.5
